id,nom,marque,caracteristiques,prix,Affichage,Appareil d'entrée,Batterie,Clavier,Clavier numérique,Copilot+ PC,Couleur,Débit d'absorption spécifique (DAS),Empreinte carbone,Fonctions,Fourni avec,Fournisseur de services,Garantie du fabricant,Graphique,Indice de réparabilité,Jeu,Localisation,Microsoft Copilot,Mémoire,Mémoire vidéo,Normes environnementales,Poids,Processeur,Programme de ventes par le fabricant,Prêt pour la réalité virtuelle,Réseaux,Rétroéclairage du clavier,Services inclus,Stockage,Système d'exploitation,Sécurité,Technologie de Plate-forme,Transmission à large bande sans fil,Type de Produit,Type de tarification,Unité de traitement neural (NPU),Webcam intégrée
10384042,Dell Mobile Precision 3590,DELL,"Intel Core Ultra 7 - 155H / jusqu'à 4.8 GHz - Win 11 Pro - RTX 500 Ada - 16 Go RAM - 512 Go SSD NVMe, Class 35 - 15.6"" IPS 1920 x 1080 (Full HD) - Gigabit Ethernet - Wi-Fi 6E - gris - clavier : Français européen - BTS - avec 3 ans de base sur site",1472.1,"15.6"" 1920 x 1080 / Full HD @ 60 Hz - 141 ppi","Clavier, Pavé tactile",3 cellules,Français européen,Oui,,Gris,,119 kg d'émissions de carbone,Accéléromètre,,,,NVIDIA RTX 500 Ada,,,,,16 Go DDR5 (1 x 16 GB),4 Go GDDR6 SDRAM,,1.62 kg,"Intel Core Ultra 7 (Série 1) - 155H / 1.4 GHz, jusqu'à 4.8 GHz / 24 Mo Cache",,,"Bluetooth, 802.11a/b/g/n/ac/ax (Wi-Fi 6E), Gigabit Ethernet",Oui,3 ans de base sur site,"512 Go SSD - NVMe, Class 35",Win 11 Pro - néerlandais / anglais / français / allemand / italien,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur de carte à puce",,,Station de travail mobile - AI Ready,Build To Stock (BTS),Intel AI Boost,Oui
10308274,Dell Precision 3590,DELL,"Intel Core Ultra 7 - 155H / jusqu'à 4.8 GHz - Win 11 Pro - RTX 500 Ada - 32 Go RAM - 512 Go SSD NVMe, Class 35 - 15.6"" IPS 1920 x 1080 (Full HD) - Gigabit Ethernet - Wi-Fi 6E - gris - BTP - avec 3 ans de service de base sur site après un diagnostic à distance avec assistance uniquement matérielle",1594.73,"15.6"" 1920 x 1080 / Full HD @ 60 Hz - 141 ppi","Clavier, Pavé tactile",3 cellules,,Oui,,Gris,,119 kg d'émissions de carbone,"Accéléromètre, détecteur de lumière ambiante",,,,NVIDIA RTX 500 Ada,7.4 (sur 10),,,,32 Go DDR5 (2 x 16 Go),4 Go GDDR6 SDRAM,ENERGY STAR EPEAT Gold,1.62 kg,"Intel Core Ultra 7 (Série 1) - 155H / 1.4 GHz, jusqu'à 4.8 GHz / 24 Mo Cache",,,"Bluetooth, 802.11a/b/g/n/ac/ax (Wi-Fi 6E), Gigabit Ethernet",Oui,3 ans de service de base sur site après un diagnostic à distance avec assistance uniquement matérielle,"512 Go SSD - NVMe, Class 35",Win 11 Pro - néerlandais / anglais / français / allemand / italien,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur de carte à puce",,,Station de travail mobile - AI Ready,Build To Plan (BTP),Intel AI Boost,Oui
8630573,Lenovo ThinkPad P16 Gen 2 21FA,LENOVO,"Intel Core i7 - 13850HX / jusqu'à 5.3 GHz - vPro Enterprise - Win 11 Pro - RTX 3500 Ada - 32 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 2560 x 1600 (WQXGA) @ 165 Hz - Wi-Fi 6E - gris tempête (haut), villosités noires (en bas) - clavier : Français - avec 3 ans de Lenovo Premier Support, compensation",3449.41,"16"" 2560 x 1600 / WQXGA @ 165 Hz","Clavier, TrackPoint, UltraNav",,Français,Oui,,"Gris tempête (haut), villosités noires (en bas)",,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 3 ans - sur site - temps de réponse : jour ouvré suivant,NVIDIA RTX 3500 Ada / Intel UHD Graphics,,,Langue : français / région : France,,32 Go DDR5 (2 x 16 Go),12 Go GDDR6 SDRAM,"TCO Certified Notebooks 9, ENERGY STAR EPEAT Gold, EPEAT Climate+",2.95 kg,Intel Core i7 (13ème génération) - 13850HX jusqu'à 5.3 GHz / 30 Mo Cache,Lenovo TopSeller,,"Bluetooth 5.1, 802.11a/b/g/n/ac/ax (Wi-Fi 6E)",Oui,"3 ans de Lenovo Premier Support, compensation CO2 0,5 tonne","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",Intel vPro Enterprise,,Station de travail mobile,,,Oui
11877188,Lenovo ThinkPad P16s Gen 4 21QV,LENOVO,"Conception de charnière à 180 degrés - Intel Core Ultra 7 - 255H / jusqu'à 5.1 GHz - Win 11 Pro - NVIDIA RTX PRO 500 Blackwell / Intel Arc 140T - 32 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 1 an d'assistance Le",1741.18,"16"" 1920 x 1200 / WUXGA @ 60 Hz","TrackPoint, UltraNav",,Français,Oui,,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie limitée - batterie - 1 an ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,NVIDIA RTX PRO 500 Blackwell / Intel Arc 140T - jusqu'à 74 TOPS,,,Langue : français / région : France,Yes,32 Go DDR5 (2 x 16 Go),6 Go GDDR7 SDRAM,ENERGY STAR EPEAT Gold,1.82 kg,"Intel Core Ultra 7 (Série 2) - 255H / 2 GHz, jusqu'à 5.1 GHz / 24 Mo Cache",Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4, Gigabit Ethernet",Oui,"1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 tonne (2ème génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",,,Ordinateur portable - conception de charnière à 180 degrés,,Intel AI Boost - jusqu'à 13 TOPS,Oui
11552494,MSI Modern 13 F1MG-040FR,MSI,"040FR - Conception de charnière à 180 degrés - Intel Core 7 - 150U / jusqu'à 5.4 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 1 To SSD NVMe - 13.3"" 1920 x 1080 (Full HD) - Gigabit Ethernet - Bluetooth, Wi-Fi 6E - gris platine - clavier : Français",899.0,"13.3"" 1920 x 1080 / Full HD @ 60 Hz",,3 cellules,Français,,,Gris platine,,,,,,Garantie limitée - 3 ans,Intel Graphics,7.7 (sur 10),,,,16 Go DDR4 (2 x 8 Go),,,1.45 kg,"Intel Core 7 (Série 1) - 150U / 1.8 GHz, jusqu'à 5.4 GHz / 12 Mo Cache",,,"Bluetooth 5.3, 802.11a/b/g/n/ac/ax (Wi-Fi 6E), Gigabit Ethernet",Oui (blanc),,1 To SSD - NVMe,Win 11 Pro,,,,Ordinateur portable - conception de charnière à 180 degrés,,,Oui
10371686,HP ZBook Power G11 A Mobile Workstation,HP INC,"AMD Ryzen 9 - 8945HS / jusqu'à 5.2 GHz - Win 11 Pro - RTX 2000 Ada - 32 Go RAM - 1 To SSD NVMe, TLC - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - clavier : Français - avec HP 3 ans d'assistance matérielle enlèvement et retour pour les ordinateurs portables - avec HP Wolf Pro Security Edition (1 an)",2790.0,"16"" WLED 1920 x 1200 / WUXGA @ 60 Hz","Clavier, ClickPad",6 cellules,Français,Oui,,,,,"Détecteur de lumière ambiante, capteur à effet Hall, capteur de mouvement, HP Tamper Lock, capteur thermique, HP Sure Platform",HP Wolf Pro Security Edition (1 an),,Garantie limitée - pièces et main d'oeuvre - 1 an,NVIDIA RTX 2000 Ada / AMD Radeon 780M,8.7 (sur 10),,Langue : français / région : France,,32 Go DDR5 (2 x 16 Go),8 Go GDDR6 SDRAM,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR",2.04 kg,"AMD Ryzen 9 8945HS / 4 GHz, jusqu'à 5.2 GHz / 16 Mo Cache",,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui,HP 3 ans d'assistance matérielle enlèvement et retour pour les ordinateurs portables,"1 To SSD - NVMe, TLC",Win 11 Pro - Anglais/Français,"Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,Station de travail mobile - AI Ready,,AMD Ryzen AI - jusqu'à 16 TOPS,Oui
10305625,Lenovo ThinkPad P16s Gen 3 21KS,LENOVO,"Conception de charnière à 180 degrés - Intel Core Ultra 7 - 155H / jusqu'à 4.8 GHz - Win 11 Pro - RTX 500 Ada - 16 Go RAM - 512 Go SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - noir - clavier : Français",1555.29,"16"" 1920 x 1200 / WUXGA @ 60 Hz","Clavier, TrackPoint, UltraNav",,Français,Oui,,Noir,,244 kg d'émissions de carbone,,,,Garantie limitée - 3 ans - enlèvement et retour ¦ Garantie limitée - batterie - 1 an,NVIDIA RTX 500 Ada / Intel Arc Graphics,6.8 (sur 10),,Langue : français / région : France,,16 Go DDR5 (1 x 16 GB),4 Go GDDR6 SDRAM,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",1.82 kg,"Intel Core Ultra 7 (Série 1) - 155H / 1.4 GHz, jusqu'à 4.8 GHz / 24 Mo Cache",Lenovo TopSeller,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui,,"512 Go SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",,,Station de travail mobile - AI Ready - conception de charnière à 180 degrés,,Intel AI Boost - jusqu'à 11 TOPS,Oui
10305642,Lenovo ThinkPad P16v Gen 2 21KX,LENOVO,"Conception de charnière à 180 degrés - Intel Core Ultra 7 - 155H / jusqu'à 4.8 GHz - Win 11 Pro - RTX 1000 Ada - 16 Go RAM - 512 Go SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - noir - clavier : Français - avec 3 ans de support Lenovo Premier, compensation CO2 ",1944.71,"16"" 1920 x 1200 / WUXGA @ 60 Hz","Clavier, TrackPoint, UltraNav",,Français,Oui,,Noir,,268 kg d'émissions de carbone,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 3 ans - sur site - temps de réponse : jour ouvré suivant,NVIDIA RTX 1000 Ada / Intel Arc Graphics,6.6 (sur 10),,Langue : français / région : France,,16 Go DDR5 (1 x 16 GB),6 Go GDDR6 SDRAM,"TCO Certified Notebooks 9, ENERGY STAR EPEAT Gold",2.22 kg,"Intel Core Ultra 7 (Série 1) - 155H / 1.4 GHz, jusqu'à 4.8 GHz / 24 Mo Cache",Lenovo TopSeller,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui,"3 ans de support Lenovo Premier, compensation CO2 0,5 tonne (2e génération)","512 Go SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",,,Station de travail mobile - AI Ready - conception de charnière à 180 degrés,,Intel AI Boost - jusqu'à 11 TOPS,Oui
11877187,Lenovo ThinkPad P16s Gen 4 21QV,LENOVO,"Intel Core Ultra 7 - 255H / jusqu'à 5.1 GHz - Win 11 Pro - NVIDIA RTX PRO 500 Blackwell / Intel Arc 140T - 16 Go RAM - 512 Go SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 t",1623.53,"16"" 1920 x 1200 / WUXGA @ 60 Hz",Clavier,,Français,Oui,,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant ¦ Garantie étendue - batterie - 1 an,NVIDIA RTX PRO 500 Blackwell / Intel Arc 140T,,,Langue : français / région : France,,16 Go DDR5 (1 x 16 GB),6 Go GDDR7 SDRAM,ENERGY STAR EPEAT Gold,1.82 kg,Intel Core Ultra 7 (Série 2) - 255H jusqu'à 5.1 GHz / 24 Mo Cache,Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4",Oui,"1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 tonne (2ème génération)","512 Go SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - Anglais/Français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",,,Station de travail mobile,,Intel AI Boost - jusqu'à 13 TOPS,Oui
11835138,HP ZBook Power G11 Mobile Workstation,HP INC,"Intel Core u7 - u7-155H / jusqu'à 4.5 GHz - Win 11 Pro - UHD Graphics - 16 Go RAM - 1 To SSD NVMe - Nvidia RTX 500 Ada - 16"" IPS 1920 x 1080 (Full HD) - Wi-Fi 6, Bluetooth - clavier : Français - Garantie 3 ans sur site J+1",2077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8354982,Dell Precision 7680,DELL,"Intel Core i7 - 13850HX / jusqu'à 5.3 GHz - Win 11 Pro - NVIDIA RTX 2000 Ada - 32 Go RAM - 1 To SSD NVMe, Class 40 - 16"" 1920 x 1200 (Full HD Plus) - Gigabit Ethernet - Wi-Fi 6E - gris - clavier : Français - BTP - avec 3 ans de service ProSupport de Dell",2575.06,"16"" WLED 1920 x 1200 / Full HD Plus @ 60 Hz - 142 ppi","Clavier, Pavé tactile",6 cellules,Français,Oui,,Gris,,471 kg d'émissions de carbone,"Accéléromètre, détecteur de lumière ambiante, capteur à effet Hall, capteur de luminosité",,,,NVIDIA RTX 2000 Ada,8.4 (sur 10),,,,32 Go DDR5 (1 x 32 Go),8 Go GDDR6 SDRAM,TCO Certified Notebooks 9,2.6 kg,Intel Core i7 (13ème génération) - 13850HX jusqu'à 5.3 GHz / 30 Mo Cache,,,"Bluetooth, 802.11a/b/g/n/ac/ax (Wi-Fi 6E), Gigabit Ethernet",Oui,3 ans de service ProSupport de Dell,"1 To SSD - NVMe, Class 40",Win 11 Pro - néerlandais / anglais / français / allemand / italien,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur de carte à puce",,,Station de travail mobile,Build To Plan (BTP),,Oui
10305682,Lenovo ThinkPad P14s Gen 5 21G2,LENOVO,"Intel Core Ultra 7 - 155H / jusqu'à 4.8 GHz - Win 11 Pro - RTX 500 Ada - 16 Go RAM - 512 Go SSD TCG Opal Encryption 2, NVMe, Performance - 14.5"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - noir - clavier : Français",1543.53,"14.5"" 1920 x 1200 / WUXGA @ 60 Hz","Clavier, TrackPoint, UltraNav",,Français,,,Noir,,235 kg d'émissions de carbone,,,,Garantie limitée - 3 ans - enlèvement et retour ¦ Garantie limitée - batterie - 1 an,NVIDIA RTX 500 Ada / Intel Arc Graphics,8.4 (sur 10),,Langue : français / région : France,,16 Go DDR5 (1 x 16 GB),4 Go GDDR6 SDRAM,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",1.61 kg,"Intel Core Ultra 7 (Série 1) - 155H / 1.4 GHz, jusqu'à 4.8 GHz / 24 Mo Cache",Lenovo TopSeller,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui,,"512 Go SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",,,Station de travail mobile - AI Ready,,Intel AI Boost - jusqu'à 11 TOPS,Oui
11877181,Lenovo ThinkPad P14s Gen 6 21QT,LENOVO,"Conception de charnière à 180 degrés - Intel Core Ultra 7 - 255H / jusqu'à 5.1 GHz - Win 11 Pro - NVIDIA RTX PRO 500 Blackwell / Intel Arc 140T - 32 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 14.5"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 1 an d'assistance ",1752.94,"14.5"" 1920 x 1200 / WUXGA @ 60 Hz","TrackPoint, UltraNav",,Français,,,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,NVIDIA RTX PRO 500 Blackwell / Intel Arc 140T - jusqu'à 74 TOPS,,,Langue : français / région : France,Yes,32 Go DDR5 (2 x 16 Go),6 Go GDDR7 SDRAM,ENERGY STAR EPEAT Gold,1.64 kg,"Intel Core Ultra 7 (Série 2) - 255H / 2 GHz, jusqu'à 5.1 GHz / 24 Mo Cache",Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4, Gigabit Ethernet",Oui,"1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 tonne (2ème génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",,,Ordinateur portable - conception de charnière à 180 degrés,,Intel AI Boost - jusqu'à 13 TOPS,Oui
10305640,Lenovo ThinkPad P14s Gen 5 21ME,LENOVO,"AMD Ryzen 7 Pro - 8840HS / jusqu'à 5.1 GHz - AMD PRO - Win 11 Pro - Radeon 780M - 64 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 14"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - noir - clavier : Français - avec 1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 tonne (2",1568.24,"14"" 1920 x 1200 / WUXGA @ 60 Hz","Clavier, TrackPoint, UltraNav",,Français,,,Noir,,194 kg d'émissions de carbone,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,AMD Radeon 780M,7.6 (sur 10),,Langue : français / région : France,,64 Go DDR5 (2 x 32 GB),,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",1.31 kg,"AMD Ryzen 7 Pro 8840HS / 3.3 GHz, jusqu'à 5.1 GHz / 16 Mo Cache",Lenovo TopSeller,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui,"1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 tonne (2ème génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",AMD PRO,,Station de travail mobile - AI Ready,,AMD Ryzen AI - jusqu'à 16 TOPS,Oui
11877195,Lenovo ThinkPad P16v Gen 3 21RS,LENOVO,"Intel Core Ultra 7 - 255H / jusqu'à 5.1 GHz - Win 11 Pro - RTX PRO 2000 Blackwell - 32 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 tonne (2ème génération)",2400.0,"16"" 1920 x 1200 / WUXGA @ 60 Hz",Clavier,,Français,Oui,,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant ¦ Garantie étendue - batterie - 1 an,NVIDIA RTX PRO 2000 Blackwell / Intel Arc 140T,,,Langue : français / région : France,,32 Go DDR5 (2 x 16 Go),8 Go GDDR7 SDRAM,ENERGY STAR EPEAT Gold,2.1 kg,Intel Core Ultra 7 (Série 2) - 255H jusqu'à 5.1 GHz / 24 Mo Cache,Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4",Oui,"1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 tonne (2ème génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - Anglais/Français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,Station de travail mobile,,Intel AI Boost - jusqu'à 13 TOPS,Oui
8630546,Lenovo ThinkPad P16 Gen 2 21FA,LENOVO,"Conception de charnière à 180 degrés - Intel Core i7 - 13850HX / jusqu'à 5.3 GHz - vPro Enterprise - Win 11 Pro - RTX 2000 Ada - 32 Go RAM - 512 Go SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 2560 x 1600 (WQXGA) @ 165 Hz - Wi-Fi 6E - gris tempête (haut), villosités noires (en bas) - clavier : Français - avec 3 an",2681.18,"16"" 2560 x 1600 / WQXGA @ 165 Hz","Clavier, TrackPoint, UltraNav",,Français,Oui,,"Gris tempête (haut), villosités noires (en bas)",,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 3 ans - sur site - temps de réponse : jour ouvré suivant,NVIDIA RTX 2000 Ada / Intel UHD Graphics,8.4 (sur 10),,Langue : français / région : France,,32 Go DDR5 (2 x 16 Go),8 Go GDDR6 SDRAM,"TCO Certified Notebooks 9, ENERGY STAR EPEAT Gold, EPEAT Climate+",2.95 kg,Intel Core i7 (13ème génération) - 13850HX jusqu'à 5.3 GHz / 30 Mo Cache,Lenovo TopSeller,,"Bluetooth 5.1, 802.11a/b/g/n/ac/ax (Wi-Fi 6E)",Oui,"3 ans de Lenovo Premier Support, compensation CO2 0,5 tonne","512 Go SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",Intel vPro Enterprise,,Station de travail mobile - conception de charnière à 180 degrés,,,Oui
11919244,HP,HP INC,HP ZBG1i16 U7 255HX 16 32GB/1T PC France - French localization,3697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11919245,HP,HP INC,HP ZBG1i16 U9 285HX 16 32GB/1T PC France - French localization,4270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11919251,HP,HP INC,HP ZBG1i16 U9 285HX 16 32GB/1T PC France - French localization,4859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11785243,LENOVO,LENOVO,"Conception de charnière à 180 degrés - AMD Ryzen AI 7 PRO - 350 / jusqu'à 5 GHz - AMD PRO - Win 11 Pro - Radeon 860M - 16 Go RAM - 512 Go SSD TCG Opal Encryption 2, NVMe, Performance - 14"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 1 an d'assistance Lenovo Premier, compensatio",1294.12,"14"" 1920 x 1200 / WUXGA",,,Français,,Yes,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie limitée - batterie - 1 an ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,AMD Radeon 860M,8.8 (sur 10),,Langue : français / région : France,,16 Go DDR5 (1 x 16 GB),,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",1.39 kg,AMD Ryzen AI 7 PRO 350 jusqu'à 5 GHz / 16 Mo Cache,Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4, Gigabit Ethernet",Oui,"1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 tonne (2ème génération)","512 Go SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Microsoft Pluton Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",AMD PRO,,Ordinateur portable - conception de charnière à 180 degrés,,AMD Ryzen AI - jusqu'à 50 TOPS,Oui
11877189,Lenovo ThinkPad P16s Gen 4 21QV,LENOVO,"Intel Core Ultra 7 - 265H / jusqu'à 5.3 GHz - vPro Enterprise - Win 11 Pro - RTX PRO 1000 Blackwell - 32 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 3 ans de support Lenovo Premier, compensation CO2 0,5 tonne (2e génération)",2117.65,"16"" 1920 x 1200 / WUXGA @ 60 Hz",Clavier,,Français,Oui,,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 3 ans - sur site - temps de réponse : jour ouvré suivant ¦ Garantie étendue - batterie - 1 an,NVIDIA RTX PRO 1000 Blackwell / Intel Arc 140T,,,Langue : français / région : France,,32 Go DDR5 (2 x 16 Go),8 Go GDDR7 SDRAM,ENERGY STAR EPEAT Gold,1.82 kg,Intel Core Ultra 7 (Série 2) - 265H jusqu'à 5.3 GHz / 24 Mo Cache,Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4",Oui,"3 ans de support Lenovo Premier, compensation CO2 0,5 tonne (2e génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - Anglais/Français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",Intel vPro Enterprise,,Station de travail mobile,,Intel AI Boost - jusqu'à 13 TOPS,Oui
10384040,Dell Precision 3591,DELL,"Intel Core Ultra 7 - 155H / jusqu'à 4.8 GHz - Win 11 Pro - RTX 1000 Ada - 16 Go RAM - 512 Go SSD NVMe, Class 35 - 15.6"" IPS 1920 x 1080 (Full HD) - Gigabit Ethernet - Wi-Fi 6E - gris - clavier : Français européen - BTS - avec 3 ans de base sur site",1785.15,"15.6"" 1920 x 1080 / Full HD @ 60 Hz - 141 ppi","Clavier, Pavé tactile",4 cellules,Français européen,Oui,,Gris,,120 kg d'émissions de carbone,"Accéléromètre, détecteur de lumière ambiante",,,,NVIDIA RTX 1000 Ada,6.9 (sur 10),,,,16 Go DDR5 (1 x 16 GB),6 Go GDDR6 SDRAM,ENERGY STAR EPEAT Gold,1.79 kg,"Intel Core Ultra 7 (Série 1) - 155H / 1.4 GHz, jusqu'à 4.8 GHz / 24 Mo Cache",Dell Smart Selection,,"Bluetooth, 802.11a/b/g/n/ac/ax (Wi-Fi 6E), Gigabit Ethernet",Oui,3 ans de base sur site,"512 Go SSD - NVMe, Class 35",Win 11 Pro - néerlandais / anglais / français / allemand / italien,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur de carte à puce",,,Station de travail mobile - AI Ready,Build To Stock (BTS),Intel AI Boost,Oui
